var1,var2,correlation
x4_hydroxystyrene,n2_n2_dimethylguanosine,-0.05
x4_hydroxystyrene,n6_n6_dimethyllysine,-0.05
x4_hydroxystyrene,n6_methyllysine,-0.05
x4_hydroxystyrene,n_acetylputrescine,-0.05
x4_hydroxystyrene,trigonelline,-0.05
x4_hydroxystyrene,x2_aminobutyrate,-0.05
x4_hydroxystyrene,x3_hydroxymethylglutarate,-0.05
x4_hydroxystyrene,x3_methyladipate_pimelate,-0.05
x4_hydroxystyrene,adonitol_arabitol,-0.05
x4_hydroxystyrene,amp,-0.05
x4_hydroxystyrene,glucuronate,-0.05
x4_hydroxystyrene,kynurenine,-0.05
x4_hydroxystyrene,lactate,-0.05
x4_hydroxystyrene,malonate,-0.05
x4_hydroxystyrene,c18_2_lpc,0.1
x4_hydroxystyrene,c18_1_lpc,0.1
x4_hydroxystyrene,c18_0_lpc,0.1
x4_hydroxystyrene,c18_2_lpe,0.1
x4_hydroxystyrene,c18_1_lpe,0.1
x4_hydroxystyrene,c34_2_pc,0.15
x4_hydroxystyrene,c36_4_pc_a,0.15
x4_hydroxystyrene,c36_2_pc,0.15
x4_hydroxystyrene,c36_3_pe_plasmalogen,0.1
x4_hydroxystyrene,c42_0_tag,0.1
x4_hydroxystyrene,c43_1_tag,0.1
x4_hydroxystyrene,c45_2_tag,0.1
x4_hydroxystyrene,c46_4_tag,0.1
x4_hydroxystyrene,x13_hode,0.3
x4_hydroxystyrene,x15_hete,0.3
x4_hydroxystyrene,x2_hydroxyoctanoate,0.4
x4_hydroxystyrene,caprate,0.45
x4_hydroxystyrene,arachidate,0.5
x4_hydroxystyrene,x3_methyladipate,0.65
alpha_cehc,serine,-0.05
alpha_cehc,histidine,-0.05
alpha_cehc,lysine,-0.05
alpha_cehc,leucine,-0.05
alpha_cehc,tryptophan,-0.05
alpha_cehc,proline,-0.05
alpha_cehc,hydroxyproline,-0.05
alpha_cehc,gaba,-0.05
alpha_cehc,x2_aminoisobutyric_acid,-0.05
alpha_cehc,histamine,-0.05
alpha_cehc,n_carbamoyl_beta_alanine,-0.05
alpha_cehc,x4_acetamidobutanoate,-0.05
alpha_cehc,x4_hydroxyhippurate,-0.05
alpha_cehc,bilirubin,-0.05
alpha_cehc,biliverdin,-0.05
alpha_cehc,dmgv,-0.05
alpha_cehc,hippurate,-0.05
alpha_cehc,homoarginine,-0.05
alpha_cehc,n2_n2_dimethylguanosine,-0.05
alpha_cehc,n6_n6_dimethyllysine,-0.05
alpha_cehc,n6_methyllysine,-0.05
alpha_cehc,n_acetylputrescine,-0.05
alpha_cehc,trigonelline,-0.05
alpha_cehc,x2_aminobutyrate,-0.05
alpha_cehc,x3_hydroxymethylglutarate,-0.05
alpha_cehc,x3_methyladipate_pimelate,-0.05
alpha_cehc,adonitol_arabitol,-0.05
alpha_cehc,amp,-0.05
alpha_cehc,glucuronate,-0.05
alpha_cehc,kynurenine,-0.05
alpha_cehc,lactate,-0.05
alpha_cehc,malonate,-0.05
alpha_cehc,c18_2_lpc,0.1
alpha_cehc,c18_1_lpc,0.1
alpha_cehc,c18_0_lpc,0.1
alpha_cehc,c18_2_lpe,0.1
alpha_cehc,c18_1_lpe,0.1
alpha_cehc,c34_2_pc,0.15
alpha_cehc,c36_4_pc_a,0.15
alpha_cehc,c36_2_pc,0.15
alpha_cehc,c36_3_pe_plasmalogen,0.1
alpha_cehc,c42_0_tag,0.1
alpha_cehc,c43_1_tag,0.1
alpha_cehc,c45_2_tag,0.1
alpha_cehc,c46_4_tag,0.1
alpha_cehc,x13_hode,0.25
alpha_cehc,x15_hete,0.25
alpha_cehc,x2_hydroxyoctanoate,0.35
alpha_cehc,caprate,0.4
alpha_cehc,arachidate,0.45
alpha_cehc,x3_methyladipate,0.55
alpha_cehc,x4_hydroxystyrene,0.7
phenyllactate,serine,-0.05
phenyllactate,histidine,-0.05
phenyllactate,lysine,-0.05
phenyllactate,leucine,-0.05
phenyllactate,tryptophan,-0.05
phenyllactate,proline,-0.05
phenyllactate,hydroxyproline,-0.05
phenyllactate,gaba,-0.05
phenyllactate,x2_aminoisobutyric_acid,-0.05
phenyllactate,histamine,-0.05
phenyllactate,n_carbamoyl_beta_alanine,-0.05
phenyllactate,x4_acetamidobutanoate,-0.05
phenyllactate,x4_hydroxyhippurate,-0.05
phenyllactate,bilirubin,-0.05
phenyllactate,biliverdin,-0.05
phenyllactate,dmgv,-0.05
phenyllactate,hippurate,-0.05
phenyllactate,homoarginine,-0.05
phenyllactate,n2_n2_dimethylguanosine,-0.05
phenyllactate,n6_n6_dimethyllysine,-0.05
phenyllactate,n6_methyllysine,-0.05
phenyllactate,n_acetylputrescine,-0.05
phenyllactate,trigonelline,-0.05
phenyllactate,x2_aminobutyrate,-0.05
phenyllactate,x3_hydroxymethylglutarate,-0.05
phenyllactate,x3_methyladipate_pimelate,-0.05
phenyllactate,adonitol_arabitol,-0.05
phenyllactate,amp,-0.05
phenyllactate,glucuronate,-0.05
phenyllactate,kynurenine,-0.05
phenyllactate,lactate,-0.05
phenyllactate,malonate,-0.05
phenyllactate,c18_2_lpc,0.05
phenyllactate,c18_1_lpc,0.05
phenyllactate,c18_0_lpc,0.1
phenyllactate,c18_2_lpe,0.05
phenyllactate,c18_1_lpe,0.05
phenyllactate,c34_2_pc,0.1
phenyllactate,c36_4_pc_a,0.1
phenyllactate,c36_2_pc,0.1
phenyllactate,c36_3_pe_plasmalogen,0.1
phenyllactate,c42_0_tag,0.1
phenyllactate,c43_1_tag,0.1
phenyllactate,c45_2_tag,0.1
phenyllactate,c46_4_tag,0.1
phenyllactate,x13_hode,0.2
phenyllactate,x15_hete,0.2
phenyllactate,x2_hydroxyoctanoate,0.3
phenyllactate,caprate,0.35
phenyllactate,arachidate,0.4
phenyllactate,x3_methyladipate,0.45
phenyllactate,x4_hydroxystyrene,0.55
phenyllactate,alpha_cehc,0.65
